Treatment,PlantID,GrowthStage,Weeks_to
C,C-Sb-1,VE,1
C,C-Sb-1,VC,2
C,C-Sb-1,V1,3
C,C-Sb-1,V2,4
C,C-Sb-1,V3,6
C,C-Sb-1,V4,6.5
C,C-Sb-1,V5,7
C,C-Sb-1,V6,8
C,C-Sb-1,V7,8.5
C,C-Sb-1,V8,9
C,C-Sb-1,V9,10
C,C-Sb-1,V10,10.5
C,C-Sb-1,V11,11
C,C-Sb-1,V12,12
C,C-Sb-1,V13,NA
C,C-Sb-1,V14,NA
C,C-Sb-1,V15,NA
C,C-Sb-2,VE,1
C,C-Sb-2,VC,2
C,C-Sb-2,V1,3
C,C-Sb-2,V2,4
C,C-Sb-2,V3,6
C,C-Sb-2,V4,6.5
C,C-Sb-2,V5,7
C,C-Sb-2,V6,7.5
C,C-Sb-2,V7,8
C,C-Sb-2,V8,8.5
C,C-Sb-2,V9,9
C,C-Sb-2,V10,9.5
C,C-Sb-2,V11,10
C,C-Sb-2,V12,11
C,C-Sb-2,V13,11.5
C,C-Sb-2,V14,12
C,C-Sb-2,V15,13
C,C-Sb-3,VE,1
C,C-Sb-3,VC,2
C,C-Sb-3,V1,3
C,C-Sb-3,V2,4
C,C-Sb-3,V3,5
C,C-Sb-3,V4,6
C,C-Sb-3,V5,6.25
C,C-Sb-3,V6,6.75
C,C-Sb-3,V7,7
C,C-Sb-3,V8,7.5
C,C-Sb-3,V9,8
C,C-Sb-3,V10,8.5
C,C-Sb-3,V11,9
C,C-Sb-3,V12,10
C,C-Sb-3,V13,11
C,C-Sb-3,V14,12
C,C-Sb-3,V15,NA
C,C-Sb-4,VE,1
C,C-Sb-4,VC,2
C,C-Sb-4,V1,3
C,C-Sb-4,V2,4
C,C-Sb-4,V3,6
C,C-Sb-4,V4,6.5
C,C-Sb-4,V5,7
C,C-Sb-4,V6,8
C,C-Sb-4,V7,8.5
C,C-Sb-4,V8,9
C,C-Sb-4,V9,10
C,C-Sb-4,V10,10.5
C,C-Sb-4,V11,10.5
C,C-Sb-4,V12,NA
C,C-Sb-4,V13,NA
C,C-Sb-4,V14,NA
C,C-Sb-4,V15,NA
C,C-Sb-5,VE,1
C,C-Sb-5,VC,2
C,C-Sb-5,V1,3
C,C-Sb-5,V2,4
C,C-Sb-5,V3,5
C,C-Sb-5,V4,5.5
C,C-Sb-5,V5,6
C,C-Sb-5,V6,6.5
C,C-Sb-5,V7,7
C,C-Sb-5,V8,7.5
C,C-Sb-5,V9,8
C,C-Sb-5,V10,8.5
C,C-Sb-5,V11,9
C,C-Sb-5,V12,10
C,C-Sb-5,V13,11
C,C-Sb-5,V14,NA
C,C-Sb-5,V15,NA
C,C-Sb-6,VE,1
C,C-Sb-6,VC,2
C,C-Sb-6,V1,3
C,C-Sb-6,V2,4
C,C-Sb-6,V3,6
C,C-Sb-6,V4,6.5
C,C-Sb-6,V5,7
C,C-Sb-6,V6,8
C,C-Sb-6,V7,9
C,C-Sb-6,V8,10
C,C-Sb-6,V9,11.5
C,C-Sb-6,V10,12
C,C-Sb-6,V11,12.5
C,C-Sb-6,V12,13
C,C-Sb-6,V13,13.5
C,C-Sb-6,V14,14
C,C-Sb-6,V15,NA
C,C-Sb-7,VE,1
C,C-Sb-7,VC,2
C,C-Sb-7,V1,3
C,C-Sb-7,V2,4
C,C-Sb-7,V3,6
C,C-Sb-7,V4,6.5
C,C-Sb-7,V5,7
C,C-Sb-7,V6,7.5
C,C-Sb-7,V7,8
C,C-Sb-7,V8,9
C,C-Sb-7,V9,9.5
C,C-Sb-7,V10,10
C,C-Sb-7,V11,11
C,C-Sb-7,V12,11.25
C,C-Sb-7,V13,11.75
C,C-Sb-7,V14,12
C,C-Sb-7,V15,NA
C,C-Sb-8,VE,1
C,C-Sb-8,VC,2
C,C-Sb-8,V1,3
C,C-Sb-8,V2,4
C,C-Sb-8,V3,6
C,C-Sb-8,V4,7
C,C-Sb-8,V5,9
C,C-Sb-8,V6,11
C,C-Sb-8,V7,12
C,C-Sb-8,V8,13
C,C-Sb-8,V9,13.5
C,C-Sb-8,V10,14
C,C-Sb-8,V11,16
C,C-Sb-8,V12,NA
C,C-Sb-8,V13,NA
C,C-Sb-8,V14,NA
C,C-Sb-8,V15,NA
C,C-MBB-1,VE,1
C,C-MBB-1,VC,2
C,C-MBB-1,V1,3
C,C-MBB-1,V2,4.5
