Treatment,PlantID,GrowthStage,Weeks_to
C,C-Sb-1,-1,1
C,C-Sb-1,0,2
C,C-Sb-1,1,3
C,C-Sb-1,2,4
C,C-Sb-1,3,6
C,C-Sb-1,4,6.5
C,C-Sb-1,5,7
C,C-Sb-1,6,8
C,C-Sb-1,7,8.5
C,C-Sb-1,8,9
C,C-Sb-1,9,10
C,C-Sb-1,10,10.5
C,C-Sb-1,11,11
C,C-Sb-1,12,12
C,C-Sb-1,13,NA
C,C-Sb-1,14,NA
C,C-Sb-1,15,NA
C,C-Sb-2,-1,1
C,C-Sb-2,0,2
C,C-Sb-2,1,3
C,C-Sb-2,2,4
C,C-Sb-2,3,6
C,C-Sb-2,4,6.5
C,C-Sb-2,5,7
C,C-Sb-2,6,7.5
C,C-Sb-2,7,8
C,C-Sb-2,8,8.5
C,C-Sb-2,9,9
C,C-Sb-2,10,9.5
C,C-Sb-2,11,10
C,C-Sb-2,12,11
C,C-Sb-2,13,11.5
C,C-Sb-2,14,12
C,C-Sb-2,15,13
C,C-Sb-3,-1,1
C,C-Sb-3,0,2
C,C-Sb-3,1,3
C,C-Sb-3,2,4
C,C-Sb-3,3,5
C,C-Sb-3,4,6
C,C-Sb-3,5,6.25
C,C-Sb-3,6,6.75
C,C-Sb-3,7,7
C,C-Sb-3,8,7.5
C,C-Sb-3,9,8
C,C-Sb-3,10,8.5
C,C-Sb-3,11,9
C,C-Sb-3,12,10
C,C-Sb-3,13,11
C,C-Sb-3,14,12
C,C-Sb-3,15,NA
C,C-Sb-4,-1,1
C,C-Sb-4,0,2
C,C-Sb-4,1,3
C,C-Sb-4,2,4
C,C-Sb-4,3,6
C,C-Sb-4,4,6.5
C,C-Sb-4,5,7
C,C-Sb-4,6,8
C,C-Sb-4,7,8.5
C,C-Sb-4,8,9
C,C-Sb-4,9,10
C,C-Sb-4,10,10.5
C,C-Sb-4,11,10.5
C,C-Sb-4,12,NA
C,C-Sb-4,13,NA
C,C-Sb-4,14,NA
C,C-Sb-4,15,NA
C,C-Sb-5,-1,1
C,C-Sb-5,0,2
C,C-Sb-5,1,3
C,C-Sb-5,2,4
C,C-Sb-5,3,5
C,C-Sb-5,4,5.5
C,C-Sb-5,5,6
C,C-Sb-5,6,6.5
C,C-Sb-5,7,7
C,C-Sb-5,8,7.5
C,C-Sb-5,9,8
C,C-Sb-5,10,8.5
C,C-Sb-5,11,9
C,C-Sb-5,12,10
C,C-Sb-5,13,11
C,C-Sb-5,14,NA
C,C-Sb-5,15,NA
C,C-Sb-6,-1,1
C,C-Sb-6,0,2
C,C-Sb-6,1,3
C,C-Sb-6,2,4
C,C-Sb-6,3,6
C,C-Sb-6,4,6.5
C,C-Sb-6,5,7
C,C-Sb-6,6,8
C,C-Sb-6,7,9
C,C-Sb-6,8,10
C,C-Sb-6,9,11.5
C,C-Sb-6,10,12
C,C-Sb-6,11,12.5
C,C-Sb-6,12,13
C,C-Sb-6,13,13.5
C,C-Sb-6,14,14
C,C-Sb-6,15,NA
C,C-Sb-7,-1,1
C,C-Sb-7,0,2
C,C-Sb-7,1,3
C,C-Sb-7,2,4
C,C-Sb-7,3,6
C,C-Sb-7,4,6.5
C,C-Sb-7,5,7
C,C-Sb-7,6,7.5
C,C-Sb-7,7,8
C,C-Sb-7,8,9
C,C-Sb-7,9,9.5
C,C-Sb-7,10,10
C,C-Sb-7,11,11
C,C-Sb-7,12,11.25
C,C-Sb-7,13,11.75
C,C-Sb-7,14,12
C,C-Sb-7,15,NA
C,C-Sb-8,-1,1
C,C-Sb-8,0,2
C,C-Sb-8,1,3
C,C-Sb-8,2,4
C,C-Sb-8,3,6
C,C-Sb-8,4,7
C,C-Sb-8,5,9
C,C-Sb-8,6,11
C,C-Sb-8,7,12
C,C-Sb-8,8,13
C,C-Sb-8,9,13.5
C,C-Sb-8,10,14
C,C-Sb-8,11,16
C,C-Sb-8,12,NA
C,C-Sb-8,13,NA
C,C-Sb-8,14,NA
C,C-Sb-8,15,NA
C,C-MBB-1,-1,1
C,C-MBB-1,0,2
C,C-MBB-1,1,3
C,C-MBB-1,2,4.5
C,C-MBB-1,3,5
C,C-MBB-1,4,5.5
C,C-MBB-1,5,6
C,C-MBB-1,6,6.5
C,C-MBB-1,7,7
C,C-MBB-1,8,7.5
C,C-MBB-1,9,8
C,C-MBB-1,10,8.5
C,C-MBB-1,11,9
C,C-MBB-1,12,10
C,C-MBB-1,13,11
C,C-MBB-1,14,NA
C,C-MBB-1,15,NA
C,C-MBB-2,-1,1
C,C-MBB-2,0,2
C,C-MBB-2,1,3
C,C-MBB-2,2,4
C,C-MBB-2,3,5.25
C,C-MBB-2,4,5.75
C,C-MBB-2,5,6
C,C-MBB-2,6,6.25
C,C-MBB-2,7,6.75
C,C-MBB-2,8,7
C,C-MBB-2,9,8
C,C-MBB-2,10,8.5
C,C-MBB-2,11,9
C,C-MBB-2,12,9.5
C,C-MBB-2,13,10
C,C-MBB-2,14,11
C,C-MBB-2,15,NA
C,C-MBB-3,-1,1
C,C-MBB-3,0,2
C,C-MBB-3,1,3
C,C-MBB-3,2,4
C,C-MBB-3,3,4.5
C,C-MBB-3,4,5
C,C-MBB-3,5,6.5
C,C-MBB-3,6,7
C,C-MBB-3,7,7.5
C,C-MBB-3,8,8
C,C-MBB-3,9,8.5
C,C-MBB-3,10,8
C,C-MBB-3,11,10
C,C-MBB-3,12,10.5
C,C-MBB-3,13,11
C,C-MBB-3,14,NA
C,C-MBB-3,15,NA
C,C-MBB-4,-1,1
C,C-MBB-4,0,2
C,C-MBB-4,1,3
C,C-MBB-4,2,4
C,C-MBB-4,3,5
C,C-MBB-4,4,5.5
C,C-MBB-4,5,6
C,C-MBB-4,6,6.25
C,C-MBB-4,7,6.75
C,C-MBB-4,8,7
C,C-MBB-4,9,7.5
C,C-MBB-4,10,8
C,C-MBB-4,11,8.5
C,C-MBB-4,12,9
C,C-MBB-4,13,10
C,C-MBB-4,14,11
C,C-MBB-4,15,NA
C,C-MBB-5,-1,1
C,C-MBB-5,0,2
C,C-MBB-5,1,3
C,C-MBB-5,2,4
C,C-MBB-5,3,5
C,C-MBB-5,4,5.5
C,C-MBB-5,5,6
C,C-MBB-5,6,6.25
C,C-MBB-5,7,6.75
C,C-MBB-5,8,7
C,C-MBB-5,9,8
C,C-MBB-5,10,8.5
C,C-MBB-5,11,9
C,C-MBB-5,12,10
C,C-MBB-5,13,11
C,C-MBB-5,14,NA
C,C-MBB-5,15,NA
C,C-MBB-6,-1,1
C,C-MBB-6,0,2
C,C-MBB-6,1,3
C,C-MBB-6,2,4
C,C-MBB-6,3,5
C,C-MBB-6,4,5.5
C,C-MBB-6,5,6
C,C-MBB-6,6,6.5
C,C-MBB-6,7,7
C,C-MBB-6,8,7.5
C,C-MBB-6,9,8
C,C-MBB-6,10,8
C,C-MBB-6,11,9.5
C,C-MBB-6,12,10
C,C-MBB-6,13,11
C,C-MBB-6,14,13
C,C-MBB-6,15,NA
C,C-MBB-7,-1,1
C,C-MBB-7,0,2
C,C-MBB-7,1,3
C,C-MBB-7,2,4
C,C-MBB-7,3,5
C,C-MBB-7,4,5.5
C,C-MBB-7,5,6
C,C-MBB-7,6,6.5
C,C-MBB-7,7,7
C,C-MBB-7,8,7.5
C,C-MBB-7,9,8
C,C-MBB-7,10,8.5
C,C-MBB-7,11,9
C,C-MBB-7,12,10
C,C-MBB-7,13,11
C,C-MBB-7,14,12
C,C-MBB-7,15,NA
C,C-MBB-8,-1,1
C,C-MBB-8,0,2
C,C-MBB-8,1,3
C,C-MBB-8,2,4
C,C-MBB-8,3,5
C,C-MBB-8,4,6
C,C-MBB-8,5,6.25
C,C-MBB-8,6,6.75
C,C-MBB-8,7,7
C,C-MBB-8,8,8
C,C-MBB-8,9,8.5
C,C-MBB-8,10,8
C,C-MBB-8,11,10
C,C-MBB-8,12,11
C,C-MBB-8,13,NA
C,C-MBB-8,14,NA
